Marker,Timestamp_samples,Epoch
K0,2027975,271
S0,2029393,271
S1,2057798,275
S1,2064246,276
K1,2073209,277
K1,2075870,277
K0,2098078,280
S1,2099207,280
S1,2100093,281
K1,2105268,281
K1,2102878,281
K0,2106627,281
S0,2107027,281
K1,2387679,319
K1,2137912,286
K0,2141532,286
K1,2144713,286
K1,2147410,287
K1,2145575,287
K1,2151278,287
S1,2151483,287
S1,2157442,288
S1,2155725,288
K1,2156190,288
K1,2159325,288
S0,2163311,289
K1,2164937,289
S1,2173714,290
S1,2176219,291
K1,2183675,292
K1,2188500,292
K1,2189080,292
K1,2190361,293
K0,2191211,293
A1,2191610,293
Son1,2193563,293
S1,2199557,294
S1,2198441,294
S1,2202217,294
S1,2205316,295
K1,2206818,295
K1,2209672,295
A1,2210383,295
Son1,2212615,296
K0,2219515,296
S1,2222555,297
S1,2223975,297
K1,2225376,297
K1,2227806,298
S1,2239261,299
A1,2252994,301
Son1,2257995,302
K0,2266886,303
K1,2269687,303
S1,2276326,304
S1,2272719,304
K1,2278069,304
K0,2280468,305
S1,2297934,307
K1,2297720,307
S1,2299581,307
S0,2307772,308
K0,2308810,308
K0,2312124,309
S1,2310115,309
K0,2318536,310
S1,2322978,310
S1,2323943,310
S1,2328150,311
S1,2329037,311
K1,2332993,312
K1,2333903,312
A1,2335070,312
Soff1,2340526,313
S1,2354706,314
S1,2359706,315
S1,2363900,316
K1,2365602,316
Soff1,2367416,316
Son1,2381882,318
Soff1,2411693,322
Son1,2491552,333
K1,2525650,337
K1,2513666,336
K1,2527480,337
S1,2533890,338
S1,2539501,339
K1,2544489,340
S1,2550715,341
S1,2553432,341
K1,2552184,341
K1,2556274,341
S0,2560676,342
K0,2559239,342
S1,2567275,343
Soff1,2573433,344
Son1,3079104,411
REM0,3127991,418
Soff1,3165533,423
Son1,3312514,442
Soff1,3321865,443
Soff1,3366735,449
MS1,3376556,451
MS1,3360073,449
Soff1,3382567,452
Son1,3402244,454
Soff1,3425593,457
Son1,3435070,459
REM1,3469023,463
REM1,3507463,468
REM1,3508344,468
REM1,3509351,468
REM1,3511304,469
REM1,3516767,469
REM1,3517248,469
REM1,3517655,470
REM1,3519754,470
REM1,3522688,470
REM1,3523793,470
REM1,3518098,470
REM1,3524735,470
REM1,3525398,471
REM1,3529328,471
REM1,3529830,471
REM1,3529723,471
REM1,3531401,471
REM1,3532443,471
REM1,3533055,472
REM1,3532536,472
REM0,3539031,472
REM0,3536914,472
REM1,3540436,473
REM1,3544661,473
REM1,3542525,473
REM1,3545985,473
REM1,3549493,474
REM1,3548082,474
REM1,3561189,475
REM1,3557771,475
REM1,3558456,475
REM1,3559992,475
REM1,3563492,476
REM1,3565498,476
REM1,3578307,478
REM1,3577596,478
REM1,3578706,478
REM1,3583532,478
REM1,3584839,478
REM1,3586067,479
REM1,3588514,479
REM1,3587702,479
REM1,3591669,479
REM1,3588896,479
REM1,3593030,480
S1,3594897,480
REM1,3671107,490
REM1,3694306,493
REM1,3698774,494
REM1,3699104,494
REM1,3699380,494
REM1,3699504,494
REM1,3700925,494
REM1,3703581,494
REM1,3703443,494
REM1,3723126,497
REM1,3733623,498
REM1,3734395,498
REM1,3744398,500
REM1,3744602,500
REM0,3748120,500
REM1,3748807,500
REM1,3761512,502
REM1,3794086,506
REM1,3794426,506
REM1,3794587,506
REM1,3788712,506
REM1,3795674,507
REM1,3804724,508
REM1,3804874,508
REM1,3803666,508
REM1,3805226,508
REM1,3805306,508
REM1,3806275,508
REM1,3806708,508
REM1,3813654,509
REM1,3813223,509
REM1,3814754,509
REM1,3814667,509
REM0,3814897,509
REM1,3829188,511
REM1,3827886,511
REM1,3854024,514
REM1,3848427,514
REM1,3853815,514
REM1,3854794,514
REM1,3856416,515
REM1,3857220,515
REM1,3862243,515
REM1,3862696,516
REM0,3876965,517
REM0,3880756,518
REM1,3883754,518
REM1,3887082,519
REM1,3903241,521
REM1,3913490,522
REM1,3913740,522
REM1,3913876,522
REM1,3942520,526
REM1,3946145,527
REM1,3947193,527
REM1,3946610,527
REM1,3954950,528
REM1,3956925,528
REM1,3979809,531
REM1,3979473,531
REM1,3986075,532
REM1,3990329,533
REM0,4040194,539
S0,4057045,541
S1,4076086,544
S1,4079865,544
S1,4086984,545
S1,4085513,545
S1,4101055,547
S1,4100095,547
S1,4099658,547
K1,4104733,548
S1,4108751,548
S1,4112142,549
S1,4112802,549
S1,4116128,549
K1,4115314,549
S1,4119141,550
S1,4122579,550
S1,4127788,551
S1,4132296,551
S1,4133614,552
S1,4134554,552
S1,4149563,554
S1,4150733,554
S1,4152789,554
S0,4153833,554
S1,4161805,555
S1,4166786,556
S1,4170906,557
K1,4202561,561
K1,4203018,561
K1,4206037,561
S1,4211069,562
S1,4213992,562
S1,4216836,563
S1,4227856,564
K0,4263107,569
K1,4281807,571
K1,4289169,572
K1,4289705,572
K1,4300731,574
S1,4305172,575
K1,4324329,577
K1,4310819,575
K1,4355637,581
A1,4400849,587
Son1,4404985,588
A1,4418427,590
Son1,4422071,590
K1,4424574,590
K1,4418373,590
S1,4431028,591
S1,4433877,592
S1,4437109,592
S1,4446718,593
S1,4447688,594
S1,4450119,594
K1,4459381,595
S1,4476653,597
K1,4555081,608
S1,4563252,609
K1,4572075,610
K1,4585882,612
A1,4738414,632
K1,4745672,633
K1,4746912,633
K0,4754545,634
S1,4757864,635
K0,4762369,635
K1,4767923,636
K1,4772099,637
K0,4778095,638
K1,4778776,638
S1,4782488,638
Soff1,5282155,705
K0,5280841,705
REM1,5343553,713
REM1,5344223,713
REM1,5344922,713
REM1,5345561,713
REM1,5346212,713
REM1,5346932,713
REM1,5347530,714
REM1,5348196,714
REM1,5361314,715
REM1,5362028,715
REM1,5362668,716
REM1,5363313,716
K0,4787733,639
A1,4787966,639
Son1,4796658,640
S1,4805259,641
S1,4808705,642
S1,4818331,643
S1,4820883,643
K0,4826656,644
S1,4831811,645
S1,4839146,646
S1,4837589,646
K1,4848907,647
S1,4845123,647
K0,4850996,647
S1,4855072,648
S1,4854055,648
S1,4856987,648
S1,4856300,648
K1,4867264,649
K1,4868233,650
K1,4878149,651
K0,4879531,651
K1,4876279,651
K1,4881484,651
S1,4881819,651
K1,4886345,652
K1,4884628,652
S1,4884828,652
S1,4901174,654
K1,4900968,654
REM1,4910725,655
REM1,4916670,656
REM1,4915188,656
REM1,4919286,656
REM1,4920316,657
REM1,4920901,657
REM1,4921687,657
REM1,4921961,657
REM1,4922397,657
REM1,4923386,657
REM0,4925363,657
REM1,4926352,657
REM1,4927035,657
REM1,4927610,658
REM1,4927863,658
REM1,4928154,658
REM1,4928322,658
REM1,4928547,658
REM1,4928877,658
REM1,5067081,676
REM0,5066005,676
REM1,5083440,678
A1,5087160,679
Son0,5092415,679
S1,5103526,681
K1,5103769,681
K1,5109837,682
S1,5117292,683
S1,5118147,683
S1,5119078,683
S1,5120123,683
S1,5127104,684
S1,5125576,684
S1,5132030,685
S1,5142551,686
S1,5143792,686
K1,5137529,686
S1,5146566,687
S1,5153030,688
S1,5162778,689
K1,5165533,689
S1,5171691,690
S1,5177308,691
S1,5180887,691
K1,5181553,691
S1,5185811,692
S1,5185224,692
A1,5188991,692
Son1,5191292,693
K0,5194606,693
S1,5204693,694
S1,5205849,695
S0,5205132,695
S1,5213068,696
S1,5214735,696
S1,5216479,696
S1,5217958,696
S1,5215606,696
S1,5238008,699
S1,5242069,699
A1,5251021,701
Son1,5256636,701
K1,5265352,703
K1,5271803,703
